zipcode,school_district
01940,Lynnfield School District
01944,Manchester Essex Regional School District
01945,Marblehead School District
01949,Masconomet School District
01950,Newburyport School District
01951,Triton School District
01952,Triton School District
01960,Peabody School District
01965,Beverly School District
01966,Rockport School District
01969,Triton School District
01970,Salem School District
01982,Hamilton-Wenham School District
01983,Masconomet School District
01984,Hamilton-Wenham School District
01985,Pentucket School District
02019,Bellingham School District
02021,Canton School District
02025,Cohasset School District
02026,Dedham School District
02030,Dover School District
02032,Walpole School District
02035,Foxborough School District
02038,Franklin School District
02043,Hingham School District
02045,Hull School District
02047,Scituate School District
02048,Mansfield School District
02050,Marshfield School District
02052,Medfield School District
02053,Medway School District
02054,Millis School District
02056,King Philip School District
02061,Norwell School District
02062,Norwood School District
02066,Scituate School District
02067,Sharon School District
02071,Walpole School District
02072,Stoughton School District
02081,Walpole School District
02090,Westwood School District
02093,King Philip School District
02108,Boston School District
02109,Boston School District
02110,Boston School District
02111,Boston School District
02113,Boston School District
02114,Boston School District
02115,Boston School District
02116,Boston School District
02118,Boston School District
02119,Boston School District
02120,Boston School District
02121,Boston School District
02122,Boston School District
02124,Boston School District
02125,Boston School District
02126,Boston School District
02127,Boston School District
02128,Boston School District
02129,Boston School District
02130,Boston School District
02131,Boston School District
02132,Boston School District
02133,Boston School District
02134,Boston School District
02135,Boston School District
02136,Boston School District
02138,Cambridge School District
02139,Cambridge School District
02140,Cambridge School District
02141,Cambridge School District
02142,Cambridge School District
02143,Somerville School District
02144,Somerville School District
02145,Somerville School District
02148,Malden School District
02149,Everett School District
02150,Chelsea School District
02151,Revere School District
02152,Winthrop School District
02155,Medford School District
02163,Boston School District
02169,Quincy School District
02170,Quincy School District
02171,Quincy School District
02176,Melrose School District
02180,Stoneham School District
02184,Braintree School District
02186,Milton School District
02188,Weymouth School District
02189,Weymouth School District
02190,Weymouth School District
02191,Weymouth School District
02199,Boston School District
02203,Boston School District
02205,Boston School District
02210,Boston School District
02215,Boston School District
02301,Brockton School District
02302,Brockton School District
02322,Avon School District
02324,Bridgewater-Raynham School District
02325,Bridgewater-Raynham School District
02330,Carver School District
02332,Duxbury School District
02333,East Bridgewater School District
02338,Halifax School District
02339,Hanover School District
02341,Whitman-Hanson School District
02343,Holbrook School District
02346,Middleborough School District
02347,Freetown-Lakeville School District
02350,Whitman-Hanson School District
02351,Abington School District
02356,Easton School District
02357,Easton School District
02359,Pembroke School District
02360,Plymouth School District
02364,Kingston School District
02366,Plymouth School District
02367,Plympton School District
02368,Randolph School District
02370,Rockland School District
02375,Easton School District
02379,West Bridgewater School District
02382,Whitman-Hanson School District
02420,Lexington School District
02421,Lexington School District
02445,Brookline School District
02446,Brookline School District
02451,Waltham School District
02452,Waltham School District
02453,Waltham School District
02457,Wellesley School District
02458,Newton School District
02459,Newton School District
02460,Newton School District
02461,Newton School District
02462,Newton School District
02464,Newton School District
02465,Newton School District
02466,Newton School District
02467,Brookline School District
02468,Newton School District
02472,Watertown School District
02474,Arlington School District
02476,Arlington School District
02478,Belmont School District
02481,Wellesley School District
02482,Wellesley School District
02492,Needham School District
02493,Weston School District
02494,Needham School District
02532,Bourne School District
02534,Bourne School District
02535,Up-Island Regional School District
02536,Falmouth School District
02537,Sandwich School District
02538,Wareham School District
02539,Martha's Vineyard School District
02540,Falmouth School District
02542,Bourne School District
02543,Gosnold School District
02553,Bourne School District
02554,Nantucket School District
02556,Falmouth School District
02557,Oak Bluffs School District
02558,Wareham School District
02559,Bourne School District
02561,Bourne School District
02562,Bourne School District
02563,Sandwich School District
02564,Nantucket School District
02568,Martha's Vineyard School District
02571,Wareham School District
02575,Up-Island Regional School District
02576,Wareham School District
02584,Nantucket School District
02601,Barnstable School District
02630,Barnstable School District
02631,Brewster School District
02632,Barnstable School District
02633,Monomoy Regional School District
02635,Barnstable School District
02637,Barnstable School District
02638,Dennis-Yarmouth School District
02639,Dennis-Yarmouth School District
02641,Dennis-Yarmouth School District
02642,Eastham School District
02643,Nauset School District
02644,Sandwich School District
02645,Monomoy Regional School District
02646,Monomoy Regional School District
02647,Barnstable School District
02648,Barnstable School District
02649,Mashpee School District
02650,Monomoy Regional School District
02652,Truro School District
02653,Nauset School District
02655,Barnstable School District
02657,Provincetown School District
02659,Monomoy Regional School District
02660,Dennis-Yarmouth School District
02663,Nauset School District
02664,Dennis-Yarmouth School District
02666,Truro School District
02667,Nauset School District
02668,Barnstable School District
02670,Dennis-Yarmouth School District
02671,Monomoy Regional School District
02672,Barnstable School District
02673,Dennis-Yarmouth School District
02675,Dennis-Yarmouth School District
02702,Freetown-Lakeville School District
02703,Attleboro School District
02713,Gosnold School District
02715,Dighton-Rehoboth School District
02717,Freetown-Lakeville School District
02718,Taunton School District
02719,Fairhaven School District
02720,Fall River School District
02721,Fall River School District
02723,Fall River School District
02724,Fall River School District
02725,Somerset-Berkley School District
02726,Somerset-Berkley School District
