zipcode,school_district
48035,Clintondale Community Schools
48036,Chippewa Valley Schools
48038,Chippewa Valley Schools
48039,East China School District
48040,Marysville Public Schools
48041,Memphis Community Schools
48042,New Haven Community Schools
48043,Mount Clemens Community School District
48044,Chippewa Valley Schools
48045,L'Anse Creuse Public Schools
48047,Anchor Bay School District
48048,New Haven Community Schools
48049,Port Huron Area School District
48050,Richmond Community Schools
48051,L'Anse Creuse Public Schools
48054,East China School District
48059,Port Huron Area School District
48060,Port Huron Area School District
48062,Richmond Community Schools
48063,Richmond Community Schools
48064,East China School District
48065,Romeo Community Schools
48066,Roseville Community Schools
48067,Royal Oak City School District
48069,Ferndale Public Schools
48070,Berkley School District
48071,Lamphere Public Schools
48072,Berkley School District
48073,Royal Oak City School District
48074,Port Huron Area School District
48075,Southfield Public School District
48076,Southfield Public School District
48079,East China School District
48080,South Lake Schools
48081,Lakeview Public Schools
48082,Lake Shore Public Schools
48083,Troy School District
48084,Troy School District
48085,Troy School District
48088,Warren Woods Public Schools
48089,Van Dyke Public Schools
48091,Fitzgerald Public Schools
48092,Warren Consolidated Schools
48093,Warren Consolidated Schools
48094,Romeo Community Schools
48095,Romeo Community Schools
48096,Romeo Community Schools
48097,Yale Public Schools
48098,Troy School District
48101,Allen Park Public Schools
48103,Ann Arbor Public Schools
48104,Ann Arbor Public Schools
48105,Ann Arbor Public Schools
48108,Ann Arbor Public Schools
48109,Ann Arbor Public Schools
48111,Van Buren Public Schools
48114,Brighton Area Schools
48116,Brighton Area Schools
48117,Airport Community School District
48118,Chelsea School District
48120,Dearborn City School District
48122,Melvindale-North Allen Park School District
48124,Dearborn City School District
48125,Dearborn Heights School District 7
48126,Dearborn City School District
48127,Crestwood School District
48128,Dearborn City School District
48130,Dexter Community School District
48131,Dundee Community Schools
48133,Mason Consolidated Schools
48134,Flat Rock Community Schools
48135,Garden City School District
48137,Stockbridge Community Schools
48138,Grosse Ile Township Schools
48139,Pinckney Community Schools
48140,Ida Public School District
48141,Westwood Community Schools
48143,Pinckney Community Schools
48144,Bedford Public Schools
48145,Monroe Public Schools
48146,Lincoln Park Public Schools
48150,Livonia Public Schools
48152,Livonia Public Schools
48154,Livonia Public Schools
48157,Mason Consolidated Schools
48158,Manchester Community Schools
48159,Dundee Community Schools
48160,Milan Area Schools
48161,Monroe Public Schools
48162,Monroe Public Schools
48164,Huron School District
48165,South Lyon Community Schools
48166,Jefferson Schools
48167,Northville Public Schools
48168,Northville Public Schools
48169,Pinckney Community Schools
48170,Plymouth-Canton Community Schools
48173,Gibraltar School District
48174,Romulus Community Schools
48176,Saline Area Schools
48177,Bedford Public Schools
48178,South Lyon Community Schools
48179,Airport Community School District
48180,Taylor School District
48182,Bedford Public Schools
48183,Woodhaven-Brownstown School District
48184,Wayne-Westland Community School District
48185,Wayne-Westland Community School District
48186,Wayne-Westland Community School District
48187,Plymouth-Canton Community Schools
48188,Plymouth-Canton Community Schools
48189,Whitmore Lake Public Schools
48190,Lincoln Consolidated School District
48191,Lincoln Consolidated School District
48192,Wyandotte City School District
48193,Riverview Community School District
48195,Southgate Community School District
48197,Lincoln Consolidated School District
48198,Ypsilanti Community Schools
48201,Detroit Public Schools Community District
48202,Detroit Public Schools Community District
48203,Detroit Public Schools Community District
48204,Detroit Public Schools Community District
48205,Detroit Public Schools Community District
48206,Detroit Public Schools Community District
48207,Detroit Public Schools Community District
48208,Detroit Public Schools Community District
48209,Detroit Public Schools Community District
48210,Detroit Public Schools Community District
48211,Detroit Public Schools Community District
48212,Detroit Public Schools Community District
48213,Detroit Public Schools Community District
48214,Detroit Public Schools Community District
48215,Detroit Public Schools Community District
48216,Detroit Public Schools Community District
48217,Detroit Public Schools Community District
48218,River Rouge School District
48219,Detroit Public Schools Community District
48220,Ferndale Public Schools
48221,Detroit Public Schools Community District
48223,Detroit Public Schools Community District
48224,Detroit Public Schools Community District
48225,Harper Woods City Schools
48226,Detroit Public Schools Community District
48227,Detroit Public Schools Community District
48228,Detroit Public Schools Community District
48229,Ecorse Public School District
48230,Grosse Pointe Public Schools
48233,Detroit Public Schools Community District
48234,Detroit Public Schools Community District
48235,Detroit Public Schools Community District
48236,Grosse Pointe Public Schools
48237,Oak Park City School District
48238,Detroit Public Schools Community District
48239,South Redford School District
48240,Redford Union School District
48242,Romulus Community Schools
48243,Detroit Public Schools Community District
48301,Birmingham City School District
48302,Bloomfield Hills School District
48304,Bloomfield Hills School District
48306,Rochester Community School District
48307,Rochester Community School District
48309,Rochester Community School District
48310,Warren Consolidated Schools
48312,Warren Consolidated Schools
48313,Utica Community Schools
48314,Utica Community Schools
48315,Utica Community Schools
48316,Utica Community Schools
48317,Utica Community Schools
48320,West Bloomfield School District
48322,West Bloomfield School District
48323,Walled Lake Consolidated Schools
48324,West Bloomfield School District
48326,Pontiac City School District
48327,Waterford School District
48328,Waterford School District
48329,Waterford School District
48331,Farmington Public School District
48334,Farmington Public School District
48335,Farmington Public School District
48336,Farmington Public School District
48340,Pontiac City School District
48341,Pontiac City School District
48342,Pontiac City School District
48346,Clarkston Community School District
48348,Clarkston Community School District
48350,Holly Area School District
48353,Hartland Consolidated Schools
48356,Huron Valley Schools
48357,Huron Valley Schools
48359,Lake Orion Community Schools
48360,Lake Orion Community Schools
48362,Lake Orion Community Schools
48363,Rochester Community School District
48367,Oxford Area Community Schools
48370,Oxford Area Community Schools
48371,Oxford Area Community Schools
48374,Novi Community School District
48375,Novi Community School District
48377,Walled Lake Consolidated Schools
48380,Huron Valley Schools
48381,Huron Valley Schools
48382,Walled Lake Consolidated Schools
48383,Huron Valley Schools
48386,Huron Valley Schools
48390,Walled Lake Consolidated Schools
48393,Walled Lake Consolidated Schools
48401,Carsonville-Port Sanilac School District
48410,Deckerville Community School District
48411,Goodrich Area Schools
48412,Imlay City Community Schools
48413,Bad Axe Public Schools
48414,Durand Area Schools
48415,Birch Run Area School District
48416,Brown City Community School District
48417,Chesaning Union Schools
48418,Byron Area Schools
48419,Carsonville-Port Sanilac School District
48420,Clio Area School District
48421,Lakeville Community Schools
48422,Croswell-Lexington Community School District
48423,Davison Community Schools
48426,Cass City Public Schools
48427,Deckerville Community School District
48428,Dryden Community Schools
48429,Durand Area Schools
48430,Fenton Area Public Schools
48432,North Huron School District
48433,Flushing Community Schools
48434,Harbor Beach Community Schools
48435,Mayville Community School District
48436,Swartz Creek Community Schools
48437,Genesee School District
48438,Goodrich Area Schools
48439,Grand Blanc Community Schools
48440,Lapeer Community Schools
48441,Harbor Beach Community Schools
48442,Holly Area School District
48444,Imlay City Community Schools
48445,North Huron School District
48446,Lapeer Community Schools
48449,Corunna Public School District
48450,Croswell-Lexington Community School District
48451,Linden Community Schools
48453,Marlette Community Schools
48454,Peck Community School District
48455,Lapeer Community Schools
48456,Ubly Community Schools
48457,Montrose Community Schools
48458,Mount Morris Consolidated School District
48460,New Lothrop Area Public School
48461,North Branch Area Schools
48462,Brandon School District
48463,Lakeville Community Schools
48464,Lakeville Community Schools
48465,Deckerville Community School District
48466,Peck Community School District
48467,North Huron School District
48468,North Huron School District
48469,Carsonville-Port Sanilac School District
48470,Ubly Community Schools
48471,Sandusky Community School District
48472,Sandusky Community School District
48473,Swartz Creek Community Schools
48475,Ubly Community Schools
48476,Corunna Public School District
48502,Flint City School District
48503,Flint City School District
48504,Westwood Heights Schools
48505,Flint City School District
48506,Kearsley Community Schools
48507,Carman-Ainsworth Community School District
48509,Bentley Community Schools
48519,Atherton Community Schools
48529,Bendle Public Schools
48532,Carman-Ainsworth Community School District
48601,Bridgeport-Spaulding Community School District
48602,Saginaw City School District
48603,Saginaw Township Community Schools
48604,Saginaw City School District
48607,Saginaw City School District
48609,Swan Valley School District
48610,West Branch-Rose City Area Schools
48611,Bay City School District
48612,Beaverton Rural Schools
48613,Beaverton Rural Schools
48614,Merrill Community Schools
48615,Breckenridge Community Schools
48616,Chesaning Union Schools
48617,Clare Public Schools
48618,Coleman Community School District
48619,Fairview Area School District
48620,Meridian Public Schools
48621,Fairview Area School District
48622,Farwell Area Schools
48623,Freeland Community School District
48624,Gladwin Community Schools
48625,Harrison Community Schools
48626,Hemlock Public School District
48627,Roscommon Area Public Schools
48628,Meridian Public Schools
48629,Houghton Lake Community School District
48630,Houghton Lake Community School District
48631,Bay City School District
48632,Farwell Area Schools
48633,Farwell Area Schools
48634,Pinconning Area Schools
48635,West Branch-Rose City Area Schools
48636,Mio-AuSable Schools
48637,Merrill Community Schools
48638,Saginaw Township Community Schools
48640,Bullock Creek School District
48642,Midland Public Schools
48647,Mio-AuSable Schools
48649,Chesaning Union Schools
48650,Pinconning Area Schools
48651,Houghton Lake Community School District
48652,Pinconning Area Schools
48653,Roscommon Area Public Schools
48654,West Branch-Rose City Area Schools
48655,St. Charles Community Schools
48656,Roscommon Area Public Schools
48657,Meridian Public Schools
48658,Standish-Sterling Community School District
48659,Standish-Sterling Community School District
48661,West Branch-Rose City Area Schools
48662,Breckenridge Community Schools
48701,Akron-Fairgrove Schools
48703,Au Gres-Sims School District
48705,Alcona Community Schools
48706,Bay City School District
48708,Bay City School District
48710,Bay City School District
48720,Elkton-Pigeon-Bay Port Schools
48721,Alcona Community Schools
48722,Bridgeport-Spaulding Community School District
48723,Caro Community Schools
48724,Carrollton School District
48725,Elkton-Pigeon-Bay Port Schools
48726,Cass City Public Schools
48727,North Branch Area Schools
48728,Fairview Area School District
48729,Cass City Public Schools
48730,Tawas Area Schools
48731,Elkton-Pigeon-Bay Port Schools
48732,Essexville-Hampton Public Schools
48733,Akron-Fairgrove Schools
48734,Frankenmuth School District
48735,Owendale-Gagetown Area Schools
48737,Oscoda Area Schools
48738,Oscoda Area Schools
48739,Hale Area Schools
48740,Alcona Community Schools
48741,Kingston Community School District
48742,Alcona Community Schools
48743,Hale Area Schools
48744,Mayville Community School District
48745,Oscoda Area Schools
48746,Millington Community Schools
48747,Bay City School District
48748,Tawas Area Schools
48749,Standish-Sterling Community School District
48750,Oscoda Area Schools
48754,Owendale-Gagetown Area Schools
48755,Elkton-Pigeon-Bay Port Schools
48756,Whittemore-Prescott Area Schools
48757,Reese Public Schools
48759,Unionville-Sebewaing Area School District
48760,Mayville Community School District
48761,West Branch-Rose City Area Schools
48762,Alcona Community Schools
48763,Tawas Area Schools
48765,Au Gres-Sims School District
48766,Standish-Sterling Community School District
48767,Unionville-Sebewaing Area School District
48768,Vassar Public Schools
48770,Whittemore-Prescott Area Schools
48801,Alma Public Schools
48806,Ashley Community Schools
48807,Ovid-Elsie Area Schools
48808,Bath Community Schools
48809,Belding Area School District
48811,Carson City-Crystal Area School District
48813,Charlotte Public Schools
48815,Lakewood Public Schools
48816,Byron Area Schools
48817,Corunna Public School District
48818,Carson City-Crystal Area School District
48819,Dansville Schools
48820,St. Johns Public Schools
48821,Holt Public Schools
48822,Grand Ledge Public Schools
48823,East Lansing School District
48824,East Lansing School District
48825,East Lansing School District
48827,Eaton Rapids Public Schools
48829,Montabella Community Schools
48831,Ovid-Elsie Area Schools
48832,Alma Public Schools
48834,Carson City-Crystal Area School District
48835,Fowler Public Schools
48836,Fowlerville Community Schools
48837,Grand Ledge Public Schools
48838,Greenville Public Schools
48840,Haslett Public Schools
48841,Owosso Public Schools
48842,Holt Public Schools
48843,Howell Public Schools
48845,Carson City-Crystal Area School District
48846,Ionia Public Schools
48847,Ithaca Public Schools
48848,Laingsburg Community School District
48849,Lakewood Public Schools
48850,Lakeview Community Schools
48851,Ionia Public Schools
48852,Montabella Community Schools
48853,Fulton Schools
48854,Mason Public Schools
48855,Howell Public Schools
48856,Fulton Schools
48857,Morrice Area Schools
48858,Mount Pleasant City School District
48859,Mount Pleasant City School District
48860,Ionia Public Schools
48861,Lakewood Public Schools
48862,Ithaca Public Schools
48864,Okemos Public Schools
48865,Ionia Public Schools
48866,Ovid-Elsie Area Schools
48867,Owosso Public Schools
48870,Carson City-Crystal Area School District
48871,Fulton Schools
48872,Perry Public School District
48873,Pewamo-Westphalia Community School District
48874,Ithaca Public Schools
48875,Portland Public School District
48876,Potterville Public Schools
48877,Alma Public Schools
48878,Mount Pleasant City School District
48879,St. Johns Public Schools
48880,St. Louis Public Schools
48881,Saranac Community Schools
48883,Shepherd Public School District
48884,Central Montcalm Public Schools
48885,Central Montcalm Public Schools
48886,Lakeview Community Schools
48888,Central Montcalm Public Schools
48889,Ithaca Public Schools
48890,Lakewood Public Schools
48891,Vestaburg Community Schools
48892,Webberville Community Schools
48893,Chippewa Hills School District
48894,Pewamo-Westphalia Community School District
48895,Williamston Community Schools
48896,Shepherd Public School District
48897,Lakewood Public Schools
48906,Lansing Public School District
48910,Lansing Public School District
48911,Lansing Public School District
48912,Lansing Public School District
48915,Lansing Public School District
48917,Grand Ledge Public Schools
48933,Lansing Public School District
49001,Kalamazoo Public School District
49002,Portage Public Schools
49004,Parchment School District
49006,Kalamazoo Public School District
49007,Kalamazoo Public School District
49008,Kalamazoo Public School District
49009,Otsego Public Schools
49010,Allegan Public Schools
49011,Athens Area Schools
49012,Galesburg-Augusta Community School District
49013,Bangor Public Schools
49014,Harper Creek Community Schools
49015,Lakeview School District
49017,Pennfield School District
49021,Bellevue Community Schools
49022,Benton Harbor Area Schools
49024,Portage Public Schools
49026,Bloomingdale Public School District
49027,Bangor Public Schools
49028,Bronson Community School District
49029,Union City Community Schools
49030,Burr Oak Community School District
49031,Cassopolis Public Schools
49032,Centreville Public Schools
49033,Harper Creek Community Schools
49034,Climax-Scotts Community School District
49036,Coldwater Community Schools
49037,Battle Creek Public Schools
49038,Coloma Community Schools
49040,Colon Community School District
49042,Constantine Public School District
49043,Covert Public Schools
49045,Decatur Public Schools
49046,Delton-Kellogg School District
49047,Dowagiac Union Schools
49048,Comstock Public Schools
49050,Hastings Area School District
49051,Athens Area Schools
49052,Athens Area Schools
49053,Galesburg-Augusta Community School District
49055,Gobles Public School District
49056,Bloomingdale Public School District
49057,Hartford Public School District
49058,Hastings Area School District
49060,Gull Lake Community Schools
49061,Constantine Public School District
49063,South Haven Public Schools
49064,Lawrence Public School District
49065,Lawton Community School District
49066,Colon Community School District
49067,Marcellus Community Schools
49068,Marshall Public Schools
49070,Martin Public Schools
49071,Mattawan Consolidated School
49072,Mendon Community School District
49073,Maple Valley Schools
49074,Comstock Public Schools
49075,Nottawa Community School
49076,Olivet Community Schools
49078,Otsego Public Schools
49079,Paw Paw Public School District
49080,Plainwell Community Schools
49082,Quincy Community School District
49083,Gull Lake Community Schools
49084,Hagar Township School District 6
49085,St. Joseph Public Schools
49087,Schoolcraft Community Schools
49088,Climax-Scotts Community School District
49089,Union City Community Schools
49090,South Haven Public Schools
49091,Sturgis Public Schools
49092,Tekonsha Community Schools
49093,Three Rivers Community Schools
49094,Union City Community Schools
49095,Cassopolis Public Schools
49096,Maple Valley Schools
49097,Vicksburg Community Schools
49098,Watervliet School District
49099,White Pigeon Community Schools
49101,Lakeshore School District
49102,Berrien Springs Public Schools
49103,Berrien Springs Public Schools
49104,Berrien Springs Public Schools
49106,Bridgman Public Schools
49107,Buchanan Community School District
49111,Eau Claire Public Schools
49112,Edwardsburg Public Schools
49113,River Valley School District
49115,River Valley School District
49116,River Valley School District
49117,New Buffalo Area School District
49119,River Valley School District
49120,Niles Community School District
49125,River Valley School District
49126,Benton Harbor Area Schools
49127,Lakeshore School District
49128,River Valley School District
49129,New Buffalo Area School District
49130,White Pigeon Community Schools
49201,Northwest School District
49202,Jackson Public Schools
49203,Jackson Public Schools
49220,Addison Community Schools
49221,Adrian City School District
49224,Marshall Public Schools
49227,Quincy Community School District
49228,Blissfield Community Schools
49229,Britton Deerfield School District
49230,Columbia School District
49232,Camden-Frontier School District
49233,Columbia School District
49234,Columbia School District
49235,Hudson Area Schools
49236,Clinton Community Schools
49237,Concord Community Schools
49238,Britton Deerfield School District
49240,Grass Lake Community Schools
49241,Hanover-Horton Schools
49242,Hillsdale Community Schools
49245,Homer Community Schools
49246,Hanover-Horton Schools
49247,Hudson Area Schools
49248,Sand Creek Community Schools
49249,North Adams-Jerome Schools
49250,Jonesville Community Schools
49251,Leslie Public Schools
49252,Litchfield Community Schools
49253,Addison Community Schools
49254,Michigan Center School District
49255,Camden-Frontier School District
49256,Morenci Area Schools
49258,Jonesville Community Schools
49259,Stockbridge Community Schools
49261,Napoleon Community Schools
49262,North Adams-Jerome Schools
49263,Napoleon Community Schools
49264,Leslie Public Schools
49265,Onsted Community Schools
49266,Pittsford Area Schools
49267,Whiteford Agricultural School District
49268,Blissfield Community Schools
49269,Western School District
49270,Summerfield School District
49271,Pittsford Area Schools
49272,Northwest School District
49274,Reading Community Schools
49276,Blissfield Community Schools
49277,Northwest School District
49279,Sand Creek Community Schools
49282,Addison Community Schools
49283,Western School District
49284,Springport Public Schools
49285,Stockbridge Community Schools
49286,Tecumseh Public Schools
49287,Tecumseh Public Schools
49288,Waldron Area Schools
49289,Sand Creek Community Schools
49301,Forest Hills Public Schools
49302,Caledonia Community Schools
49303,Grant Public School District
49304,Baldwin Community Schools
49305,Chippewa Hills School District
49306,Rockford Public Schools
49307,Big Rapids Public Schools
49309,Baldwin Community Schools
49310,Montabella Community Schools
49312,White Cloud Public Schools
49315,Byron Center Public Schools
49316,Caledonia Community Schools
49318,Kent City Community Schools
49319,Cedar Springs Public Schools
49320,Chippewa Hills School District
49321,Kenowa Hills Public Schools
49322,Lakeview Community Schools
49323,Hopkins Public Schools
49325,Lakewood Public Schools
49326,Greenville Public Schools
49327,Grant Public School District
49328,Hopkins Public Schools
49329,Tri County Area Schools
49330,Kent City Community Schools
49331,Lowell Area Schools
49332,Chippewa Hills School District
49333,Thornapple Kellogg School District
49335,Wayland Union Schools
49336,Morley Stanwood Community Schools
49337,Newaygo Public School District
49338,Big Jackson School District
49339,Tri County Area Schools
49340,Chippewa Hills School District
49341,Rockford Public Schools
49342,Chippewa Hills School District
49343,Tri County Area Schools
49344,Wayland Union Schools
49345,Sparta Area Schools
49346,Morley Stanwood Community Schools
49347,Lakeview Community Schools
49348,Wayland Union Schools
49349,White Cloud Public Schools
49401,Allendale Public School District
49402,Baldwin Community Schools
49403,Coopersville Public School District
49404,Coopersville Public School District
49405,Mason County Eastern District
49406,Saugatuck Public Schools
49408,Fennville Public Schools
49409,Grand Haven Area Public Schools
49410,Mason County Eastern District
49411,Mason County Eastern District
49412,Fremont Public School District
49415,Fruitport Community Schools
49417,Grand Haven Area Public Schools
49418,Grandville Public Schools
49419,Hamilton Community Schools
49420,Hart Public School District
49421,Hesperia Community Schools
49423,Hamilton Community Schools
49424,West Ottawa Public School District
49425,Holton Public Schools
49426,Hudsonville Public School District
49428,Jenison Public Schools
49430,Coopersville Public School District
49431,Ludington Area School District
49434,Holland City School District
49435,Coopersville Public School District
49436,Hart Public School District
49437,Montague Area Public Schools
49440,Muskegon City School District
49441,Mona Shores Public School District
49442,Oakridge Public Schools
49443,Muskegon City School District
49444,Fruitport Community Schools
49445,Reeths-Puffer Schools
49446,Shelby Public Schools
49448,Spring Lake Public Schools
49449,Pentwater Public School District
49450,Bloomingdale Public School District
49451,Ravenna Public Schools
49452,Montague Area Public Schools
49453,Saugatuck Public Schools
49454,Mason County Central Schools
49455,Shelby Public Schools
49456,Spring Lake Public Schools
49457,Holton Public Schools
49458,Mason County Central Schools
49459,Walkerville Rural Community School District
49460,Grand Haven Area Public Schools
49461,Whitehall School District
49464,Zeeland Public Schools
49503,Grand Rapids Public Schools
49504,Grand Rapids Public Schools
49505,Grand Rapids Public Schools
49506,Grand Rapids Public Schools
49507,Grand Rapids Public Schools
49508,Kentwood Public Schools
49509,Wyoming Public Schools
49512,Caledonia Community Schools
49519,Wyoming Public Schools
49525,Northview Public School District
49534,Grandville Public Schools
49544,Kenowa Hills Public Schools
49546,Forest Hills Public Schools
49548,Kentwood Public Schools
49601,Cadillac Area Public Schools
49611,Alba Public Schools
49612,Mancelona Public Schools
49613,Onekama Consolidated Schools
49614,Bear Lake School District
49615,Bellaire Public Schools
49616,Benzie County Central School
49617,Benzie County Central School
49618,Cadillac Area Public Schools
49619,Kaleva Norman Dickson School District
49620,Buckley Community School District
49621,Glen Lake Community Schools
49622,Central Lake Public Schools
49623,Baldwin Community Schools
49625,Mesick Consolidated Schools
49626,Manistee Area Schools
49627,Central Lake Public Schools
49628,Frankfort-Elberta Area Schools
49629,Elk Rapids Schools
49630,Glen Lake Community Schools
49631,Evart Public Schools
49632,McBain Rural Agricultural Schools
49633,Kalkaska Public Schools
49634,Manistee Area Schools
49635,Frankfort-Elberta Area Schools
49636,Glen Lake Community Schools
49637,Traverse City Area Public Schools
49638,Cadillac Area Public Schools
49639,Reed City Area Public Schools
49640,Benzie County Central School
49642,Baldwin Community Schools
49643,Benzie County Central School
49644,Baldwin Community Schools
49645,Kaleva Norman Dickson School District
49646,Kalkaska Public Schools
49648,Elk Rapids Schools
49649,Kingsley Area Schools
49650,Benzie County Central School
49651,Lake City Area School District
49653,Leland Public School District
49654,Glen Lake Community Schools
49655,Pine River Area Schools
49656,Pine River Area Schools
49657,McBain Rural Agricultural Schools
49659,Mancelona Public Schools
49660,Manistee Area Schools
49663,Manton Consolidated Schools
49664,Glen Lake Community Schools
49665,Marion Public Schools
49667,Houghton Lake Community School District
49668,Mesick Consolidated Schools
49670,Northport Public School District
49674,Northport Public School District
49675,Onekama Consolidated Schools
49676,Kalkaska Public Schools
49677,Reed City Area Public Schools
49679,Evart Public Schools
49680,Forest Area Community Schools
49682,Suttons Bay Public Schools
49683,Benzie County Central School
49684,Traverse City Area Public Schools
49685,Traverse City Area Public Schools
49686,Traverse City Area Public Schools
49688,Pine River Area Schools
49689,Kaleva Norman Dickson School District
49690,Elk Rapids Schools
49696,Traverse City Area Public Schools
49701,Mackinaw City Public Schools
49705,Inland Lakes Schools
49706,Alanson Public Schools
49707,Alpena Public Schools
49709,Atlanta Community Schools
49710,Sault Ste. Marie Area Schools
49712,Boyne City Public Schools
49713,Public Schools of Petoskey
49715,Brimley Area Schools
49716,Pellston Public Schools
49717,Inland Lakes Schools
49718,Pellston Public Schools
49719,Les Cheneaux Community Schools
49720,Charlevoix Public Schools
49721,Cheboygan Area Schools
49722,Public Schools of Petoskey
49724,Sault Ste. Marie Area Schools
49725,DeTour Area Schools
49726,DeTour Area Schools
49727,East Jordan Public Schools
49728,Brimley Area Schools
49729,Ellsworth Community Schools
49730,Gaylord Community Schools
49733,Crawford AuSable Schools
49735,Gaylord Community Schools
49736,DeTour Area Schools
49738,Crawford AuSable Schools
49740,Harbor Springs School District
49743,Rogers City Area Schools
49744,Alpena Public Schools
49745,Les Cheneaux Community Schools
49746,Hillman Community Schools
49747,Alcona Community Schools
49748,Tahquamenon Area Schools
49749,Inland Lakes Schools
49751,Johannesburg-Lewiston Area School District
49752,Rudyard Area Schools
49753,Alpena Public Schools
49755,Pellston Public Schools
49756,Johannesburg-Lewiston Area School District
49757,Mackinac Island Public Schools
49759,Onaway Area Community School District
49760,St. Ignace Area Schools
49762,Engadine Consolidated Schools
49764,Alanson Public Schools
49765,Onaway Area Community School District
49766,Alpena Public Schools
49768,Whitefish Township Schools
49769,Pellston Public Schools
49770,Public Schools of Petoskey
49774,Pickford Public Schools
49775,Bois Blanc Pines School District
49776,Posen Consolidated School District
49777,Alpena Public Schools
49779,Rogers City Area Schools
49780,Rudyard Area Schools
49781,St. Ignace Area Schools
49782,Beaver Island Community School
49783,Sault Ste. Marie Area Schools
49784,Rudyard Area Schools
49788,Rudyard Area Schools
49791,Inland Lakes Schools
49793,Rudyard Area Schools
49795,Vanderbilt Area Schools
49796,Public Schools of Petoskey
49799,Wolverine Community Schools
49801,Breitung Township Schools
49802,Breitung Township Schools
49805,Calumet Public Schools
49806,Autrain-Onota Public Schools
49807,Bark River-Harris School District
49808,Powell Township Schools
49812,Carney-Nadeau Public Schools
49814,N.I.C.E. Community Schools
49815,North Dickinson County Schools
49816,Superior Central Schools
49817,Big Bay de Noc School District
49818,Wells Township School District
49820,Tahquamenon Area Schools
49821,Stephenson Area Public Schools
49822,Autrain-Onota Public Schools
49825,Superior Central Schools
49826,Superior Central Schools
49827,Engadine Consolidated Schools
49829,Escanaba Area Public Schools
49831,North Dickinson County Schools
49833,Gwinn Area Community Schools
49834,North Dickinson County Schools
49835,Big Bay de Noc School District
49836,Manistique Area Schools
49837,Gladstone Area Schools
49838,Engadine Consolidated Schools
49839,Burt Township School District
49840,Manistique Area Schools
49841,Gwinn Area Community Schools
49847,North Central Area Schools
49848,Stephenson Area Public Schools
49849,N.I.C.E. Community Schools
49852,Norway-Vulcan Area Schools
49853,Tahquamenon Area Schools
49854,Manistique Area Schools
49855,Marquette Area Public Schools
49858,Menominee Area Public Schools
49861,N.I.C.E. Community Schools
49862,Munising Public Schools
49863,Carney-Nadeau Public Schools
49864,Big Bay de Noc School District
49866,Negaunee Public Schools
49868,Tahquamenon Area Schools
49870,Norway-Vulcan Area Schools
49871,Negaunee Public Schools
49872,Mid Peninsula School District
49873,North Central Area Schools
49874,North Central Area Schools
49876,Breitung Township Schools
49877,North Dickinson County Schools
49878,Rapid River Public Schools
49879,Republic-Michigamme Schools
49880,Mid Peninsula School District
49881,North Dickinson County Schools
49883,Tahquamenon Area Schools
49884,Munising Public Schools
49885,Gwinn Area Community Schools
49886,North Central Area Schools
49887,Stephenson Area Public Schools
49891,Superior Central Schools
49892,Norway-Vulcan Area Schools
49893,Stephenson Area Public Schools
49894,Escanaba Area Public Schools
49895,Big Bay de Noc School District
49896,Bark River-Harris School District
49901,Calumet Public Schools
49902,Forest Park School District
49903,Forest Park School District
49905,Stanton Township Public Schools
49908,Baraga Area Schools
49910,Ewen-Trout Creek Consolidated Schools
49911,Bessemer Area School District
49912,Ewen-Trout Creek Consolidated Schools
49913,Calumet Public Schools
49915,West Iron County Public Schools
49916,Houghton-Portage Township Schools
49917,Calumet Public Schools
49918,Grant Township School District 2
49919,L'Anse Area Schools
49920,Forest Park School District
49921,Houghton-Portage Township Schools
49922,Dollar Bay-Tamarack City Area Schools
49925,Ewen-Trout Creek Consolidated Schools
49927,West Iron County Public Schools
49929,Ontonagon Area Schools
49930,Hancock Public Schools
49931,Houghton-Portage Township Schools
49934,Dollar Bay-Tamarack City Area Schools
49935,West Iron County Public Schools
49938,Ironwood Area Schools
49942,Calumet Public Schools
49945,Lake Linden-Hubbell School District
49946,L'Anse Area Schools
49947,Wakefield-Marenisco School District
49948,Ontonagon Area Schools
49950,Calumet Public Schools
49952,L'Anse Area Schools
49953,Ontonagon Area Schools
49955,Adams Township School District
49958,Baraga Area Schools
49959,Bessemer Area School District
49960,Ontonagon Area Schools
49961,L'Anse Area Schools
49962,Arvon Township School District
49963,Adams Township School District
49965,Elm River Township School District
49967,Ewen-Trout Creek Consolidated Schools
49968,Wakefield-Marenisco School District
49969,Watersmeet Township School District
49970,L'Anse Area Schools
49971,Ontonagon Area Schools
50001,Indianola Community School District
50002,Adair-Casey Community School District
50003,Adel-De Soto-Minburn Community School District
50005,Marshalltown Community School District
50006,Alden Community School District
50007,North Polk Community School District
50008,Wayne Community School District
50009,Southeast Polk Community School District
50010,Ames Community School District
50012,Ames Community School District
50013,Ames Community School District
50014,United Community School District
50020,CAM Community School District
50021,Ankeny Community School District
50022,Atlantic Community School District
50023,Ankeny Community School District
50025,Audubon Community School District
50026,Panorama Community School District
50027,North Mahaska Community School District
50028,Baxter Community School District
50029,Coon Rapids-Bayard Community School District
50031,Ogden Community School District
50032,Saydel Community School District
50033,Martensdale-St. Marys Community School District
50034,Webster City Community School District
50035,Bondurant-Farrar Community School District
50036,Boone Community School District
50038,Van Meter Community School District
50039,Perry Community School District
50040,Southeast Valley Community School District
50041,Iowa Falls Community School District
50042,Exira-Elk Horn-Kimballton Community School District
